Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2020-11-10,-2.309128,0.036522,2.460114,-1.056362,0.316922,-0.053016,-0.02689,-0.669838,-0.119304,-0.758613,-0.781087,-0.212577,0.430319,-0.478242,0.60063,0.166628,0.754031,-0.639997,-0.248139,1.066561,0.050998,-0.055535,0.20913,-0.099673,0.275792,-0.112295,-0.194861,-0.462,0.275815,0.059772,0.095622,-0.055921
2020-11-11,-3.820461,0.177115,0.449656,0.489871,1.064605,-0.840671,0.44119,1.248098,0.295192,1.131586,-0.055271,0.155167,-0.857321,-0.591948,-0.012858,-0.720342,0.640479,0.358285,-0.191472,0.297977,-0.260548,-0.346137,-0.25888,0.114514,0.061555,-0.183351,-0.118503,-0.40551,0.173704,0.045359,0.036591,-0.032878
2020-11-12,-4.932521,0.30525,0.223982,-0.406966,0.474683,0.891521,-0.079026,0.070032,0.13708,-0.161411,-0.857509,0.236107,0.204959,-0.474756,-0.561887,-0.115391,0.784304,0.258462,0.160865,0.072156,-0.198289,-0.008308,-0.156167,-0.063089,0.272366,-0.121982,0.425224,-0.408446,-0.140175,0.019474,-0.112716,0.033297
2020-11-13,-4.312588,0.292754,0.912781,-0.792149,-0.158137,0.495367,0.086118,-0.243717,0.518768,-0.43892,-0.965912,0.069518,-0.189085,-0.124515,-0.619398,-0.192858,0.759961,0.749326,0.179431,0.157643,0.058994,-0.097172,-0.09617,-0.021996,0.151862,-0.205157,0.133297,-0.527013,0.176143,0.004506,-0.10627,0.050324
2020-11-14,-2.901014,0.223043,2.439006,-0.696142,-0.397085,-0.569109,0.698179,-0.077968,-0.024987,0.598168,0.295023,0.617066,0.175231,-0.005081,-0.765377,0.169953,0.511554,-0.482665,-0.635176,-0.098327,-0.396604,-0.085703,-0.17345,0.01295,0.038911,-0.163936,0.148992,-0.312526,0.087952,0.007556,-0.160483,0.0903
2020-11-15,-2.094488,0.163464,2.556587,0.011111,0.373541,-0.655048,-0.115073,0.44767,-0.137921,-0.504405,-0.847518,-0.743435,-0.701862,-1.16156,0.787465,-0.759898,0.73259,-0.969706,-0.191022,0.782512,-0.038363,0.522371,0.62075,-0.083166,-0.273627,-0.03847,-0.037975,-0.445471,-0.000984,0.039252,0.025053,0.133185
2020-11-16,-4.28552,0.362093,0.02538,0.750444,1.459541,-0.562065,0.211659,1.488205,0.268086,1.384248,-0.094375,0.323592,-0.677217,-0.749389,-0.074998,-0.690218,0.592825,-0.083362,-0.237281,0.113001,-0.400125,0.150322,0.074565,0.06086,-0.168423,-0.224345,0.015317,-0.496567,-0.171092,0.069599,0.199726,0.094744
2020-11-17,-6.518736,0.588264,-0.467915,-0.686967,0.353796,2.246359,-2.286472,0.601964,0.308572,-0.287946,1.494101,-0.799919,-1.084608,1.625321,0.682112,0.137556,0.654968,-0.158927,-0.229729,0.263044,-0.241673,0.071153,-0.056718,-0.079705,0.348392,-0.155303,-0.203724,0.274043,-0.069583,-0.011234,0.074608,0.002353
2020-11-18,-5.931773,0.759426,0.545935,-0.813462,-0.589037,2.258592,-2.122781,0.560356,0.370852,-0.374951,1.465325,-0.700455,-1.457626,1.931811,0.316817,0.036027,1.105117,0.278024,0.169261,0.148595,0.357356,0.267881,0.090519,-0.054509,0.049951,-0.113573,-0.492103,0.135092,0.176431,-0.031554,0.04304,0.040062
2020-11-19,-5.066381,0.613973,1.659913,-1.388639,0.314506,1.618372,-1.122147,-0.005831,-0.494083,-1.104189,2.059856,-1.408194,-1.636874,1.867344,-0.353572,-0.198151,0.73956,-0.072852,0.267952,-0.207983,0.01754,0.466421,0.082896,-0.147743,0.210822,-0.067287,-0.278257,0.140909,0.124341,-0.053527,-0.05749,0.044577
2020-11-20,-6.435203,0.736161,0.26807,-0.934622,0.859812,1.978718,-1.733268,0.320305,-0.48643,-0.707744,2.023208,-1.196875,-1.042777,1.400238,0.126941,-0.024805,0.615147,-0.512909,0.103058,0.017471,-0.421564,0.306321,-0.090403,0.201052,-0.250629,0.063678,-0.119345,0.092379,-0.141947,-0.04935,-0.106691,0.010251
2020-11-21,-5.720076,0.80254,1.255838,-1.12202,-0.391286,1.928918,-1.759575,0.259816,0.059992,-0.728642,1.732694,-1.043808,-1.541137,1.900899,0.011359,-0.105094,0.758858,0.301306,0.254286,0.200245,0.519091,0.266169,-0.079279,0.047445,-0.06683,0.145733,-0.199798,-0.002206,-0.155535,-0.023398,0.039481,-0.049855
